Source Name	Sample Name	Characteristics: Organism	Characteristics: Strain	Comment: Animal Source	Characteristics: Genotype	Factor Value: Spaceflight	Factor Value: Tissue	Characteristics: sex	Factor Value: Space Mission	Characteristics: Age at Launch	Characteristics: Material Type	Protocol REF	Parameter Value: duration	Parameter Value: habitat	Parameter Value: Enrichment material	Protocol REF	Parameter Value: Euthanasia Method	Parameter Value: Collection Condition	Parameter Value: Sample Preservation Method	Parameter Value: Sample Storage Temperature
RR9_CC15_CC1	CC15_CC1_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 1	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Fviv11_CC2	Fviv11_CC2_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 2	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Fviv12_CC2	Fviv12_CC2_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 2	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Fviv13_CC2	Fviv13_CC2_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 2	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Fviv15_CC2	Fviv15_CC2_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 2	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Fviv16_CC2	Fviv16_CC2_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 2	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_GC11	GC11_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_GC12	GC12_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_GC13	GC13_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_GC14	GC14_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_GC15	GC15_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_GC16	GC16_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_GC17	GC17_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_GC18	GC18_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_GC19	GC19_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_GC20	GC20_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_F11	F11_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Space Flight	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_F12	F12_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Space Flight	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_F13	F13_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Space Flight	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_F14	F14_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Space Flight	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_F15	F15_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Space Flight	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_F16	F16_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Space Flight	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_F17	F17_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Space Flight	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_F18	F18_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Space Flight	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_F19	F19_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Space Flight	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_F20	F20_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Space Flight	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Viv11	Viv11_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Viv13	Viv13_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_Viv14	Viv14_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_Viv15	Viv15_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_Viv16	Viv16_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_Viv17	Viv17_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_Viv18	Viv18_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_Viv19	Viv19_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_Viv20	Viv20_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR1_M31	M31_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	soleus muscle	female	SpaceX-4 (RR1)	16 week	soleus muscle	Animal Husbandry	37 day	Vivarium Cage	None	Sample Collection	Intraperitoneal injection of Euthasol; Cervical dislocation	Collected From Carcass Post-Flight	Liquid Nitrogen	-80 degree Celsius
RR1_M32	M32_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	soleus muscle	female	SpaceX-4 (RR1)	16 week	soleus muscle	Animal Husbandry	37 day	Vivarium Cage	None	Sample Collection	Intraperitoneal injection of Euthasol; Cervical dislocation	Collected From Carcass Post-Flight	Liquid Nitrogen	-80 degree Celsius
RR1_M39	M39_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	soleus muscle	female	SpaceX-4 (RR1)	16 week	soleus muscle	Animal Husbandry	37 day	Vivarium Cage	None	Sample Collection	Intraperitoneal injection of Euthasol; Cervical dislocation	Collected From Carcass Post-Flight	Liquid Nitrogen	-80 degree Celsius
RR1_M40	M40_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	soleus muscle	female	SpaceX-4 (RR1)	16 week	soleus muscle	Animal Husbandry	37 day	Vivarium Cage	None	Sample Collection	Intraperitoneal injection of Euthasol; Cervical dislocation	Collected From Carcass Post-Flight	Liquid Nitrogen	-80 degree Celsius
RR9_Viv12	Viv12_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Viv13	Viv13_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Viv14	Viv14_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Viv15	Viv15_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Viv16	Viv16_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Viv17	Viv17_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Viv18	Viv18_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Viv19	Viv19_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
RR9_Viv20	Viv20_ta	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Vivarium Control	tibialis anterior	male	SpaceX-12 (RR9)	10 week	tibialis anterior	Animal Husbandry	35 day	Vivarium Cage	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	Liquid Nitrogen	-80 degree Celsius
